Node1,Sign,Node2,Weight
AR,1,DDC,0.8571428571428571
CAD,1,Enzyme5635__CAD_reverse,0.7857142857142857
CEBPB,1,GOT1,0.14285714285714285
CPT1A,1,Enzyme8232__CPT1A_reverse,0.6428571428571429
CPT1B,1,Enzyme8232__CPT1B_reverse,0.21428571428571427
CPT1C,1,Enzyme8232__CPT1C_reverse,0.07142857142857142
CREBBP,1,AR,0.07142857142857142
CREBBP,1,CPT1A,0.07142857142857142
CREBBP,1,SGK1,0.07142857142857142
CUL3,1,KAT5,0.2857142857142857
DDC,1,Enzyme895__DDC,1
DPP4,1,TGFB1,0.6428571428571429
EP300,1,AR,0.2857142857142857
EP300,1,CPT1A,0.2857142857142857
EP300,1,TNF,0.07142857142857142
EP300,1,TP53,0.14285714285714285
Enzyme168800002__SLC25A1,1,Metab__Butanedioic acid_c,0.21428571428571427
Enzyme177__SLC1A3_TRANSPORTER2,1,Metab__L-Aspartic acid_c,0.07142857142857142
Enzyme220600002__SLC25A1,1,Metab__Butanedioic acid_m,0.21428571428571427
Enzyme220800003__SLC25A1,1,Metab__Butanedioic acid_c,0.2857142857142857
Enzyme3636__GOT1_reverse,1,Metab__L-Aspartic acid_c,0.14285714285714285
Enzyme3636__GOT1_reverse,1,Metab__alpha-Ketoglutaric acid_c,0.14285714285714285
Enzyme452200002__SLC22A9,1,Metab__Dodecanoylcarnitine_c,0.07142857142857142
Enzyme5635__CAD_reverse,1,Metab__L-Aspartic acid_c,0.7857142857142857
Enzyme5662__BBOX1,1,Metab__Butanedioic acid_c,0.14285714285714285
Enzyme618100003__SLC25A1,1,Metab__Butanedioic acid_c,0.07142857142857142
Enzyme618600002__SLC25A1,1,Metab__Butanedioic acid_c,0.21428571428571427
Enzyme8232__CPT1A_reverse,1,Metab__Dodecanoylcarnitine_c,0.6428571428571429
Enzyme8232__CPT1B_reverse,1,Metab__Dodecanoylcarnitine_c,0.21428571428571427
Enzyme8232__CPT1C_reverse,1,Metab__Dodecanoylcarnitine_c,0.07142857142857142
Enzyme8423__P4HA2,1,Metab__Butanedioic acid_c,0.07142857142857142
Enzyme8424__P4HA2,1,Metab__Butanedioic acid_m,0.07142857142857142
Enzyme895__DDC,1,Metab__Histamine_c,1
Enzyme9562__SUCLG1_SUCLA2_reverse,1,Metab__Butanedioic acid_m,0.7142857142857143
GOT1,1,Enzyme3636__GOT1_reverse,0.14285714285714285
GSK3B,-1,JUN,0.07142857142857142
GSK3B,1,CEBPB,0.07142857142857142
HDAC2,-1,SMAD3,0.07142857142857142
HDAC2,1,STAT3,0.07142857142857142
HDAC3,-1,SMAD3,0.07142857142857142
HDAC3,1,EP300,0.2857142857142857
HNF1A,1,SLC22A9,0.07142857142857142
JUN,-1,CPT1A,0.14285714285714285
JUN,-1,TH,0.14285714285714285
KAT5,1,AR,0.2857142857142857
KAT5,1,CAD,0.2857142857142857
KAT5,1,TP53,0.14285714285714285
MAPK3,1,CAD,0.42857142857142855
MAPK3,1,HNF1A,0.07142857142857142
MAPK3,1,PPARA,0.07142857142857142
MAPK3,1,RXRB,0.21428571428571427
MAPK3,1,RXRG,0.07142857142857142
Metab__alpha-Ketoglutaric acid_c,1,Enzyme5662__BBOX1,0.14285714285714285
Metab__Butanedioic acid_c,1,Enzyme220600002__SLC25A1,0.21428571428571427
Metab__Butanedioic acid_m,1,Enzyme168800002__SLC25A1,0.21428571428571427
Metab__Butanedioic acid_m,1,Enzyme220800003__SLC25A1,0.2857142857142857
Metab__Butanedioic acid_m,1,Enzyme618100003__SLC25A1,0.07142857142857142
Metab__Butanedioic acid_m,1,Enzyme618600002__SLC25A1,0.21428571428571427
Metab__Histamine_c,1,MAPK3,0.42857142857142855
MYC,1,CAD,0.07142857142857142
MYC,1,HDAC2,0.07142857142857142
P4HA2,1,Enzyme8423__P4HA2,0.07142857142857142
P4HA2,1,Enzyme8424__P4HA2,0.07142857142857142
PPARA,1,CPT1B,0.07142857142857142
PPP2R5D,1,GSK3B,0.07142857142857142
RXRB,1,CPT1A,0.07142857142857142
RXRB,1,CPT1B,0.07142857142857142
RXRB,1,CPT1C,0.07142857142857142
RXRG,1,CPT1B,0.07142857142857142
SGK1,1,SLC1A3,0.07142857142857142
SLC1A3,1,Enzyme177__SLC1A3_TRANSPORTER2,0.07142857142857142
SLC22A9,1,Enzyme452200002__SLC22A9,0.07142857142857142
SMAD3,-1,CEBPB,0.07142857142857142
SMAD3,1,JUN,0.07142857142857142
STAT3,1,CPT1A,0.07142857142857142
STAT3,1,MYC,0.07142857142857142
SUCLA2,1,Enzyme9562__SUCLG1_SUCLA2_reverse,0.7142857142857143
SUCLA2,1,MAPK3,0.42857142857142855
TGFB1,1,AR,0.6428571428571429
TGFB1,1,CREBBP,0.07142857142857142
TGFB1,1,EP300,0.07142857142857142
TGFB1,1,MAPK3,0.42857142857142855
TGFB1,1,PPP2R5D,0.6428571428571429
TGFB1,1,SUCLA2,0.6428571428571429
TH,1,DDC,0.14285714285714285
TNF,1,HDAC3,0.07142857142857142
TNF,1,SUCLA2,0.07142857142857142
TP53,1,P4HA2,0.14285714285714285
